x,y,extruding
91.676,114.79,1
104.097,92.004,1
91.543,115.799,1
103.087,91.931,1
91.445,116.839,1
102.276,91.797,1
112.973,112.62,1
112.829,107.845,1
109.236,106.943,1
107.641,108.635,1
107.276,110.101,1
109.008,105.843,1
107.333,128.019,1
94.181,119.654,1
99.034,95.061,1
94.333,120.642,1
97.708,95.591,1
95.129,122.375,1
96.4,96.24,1
95.433,123.375,1
95.433,96.625,1
112.568,106.982,1
107.795,107.208,1
106.441,110.053,1
107.411,111.797,1
110.715,112.629,1
120.732,128.407,1
110.402,114.24,1
101.719,126.579,1
93.317,101.93,1
101.54,126.944,1
92.95,101.753,1
101.36,127.31,1
92.583,101.576,1
101.171,127.695,1
91.799,102.266,1
108.847,106.215,1
106.056,109.77,1
107.659,112.678,1
111.276,112.881,1
112.569,110.904,1
92.164,106.243,1
106.987,113.013,1
108.197,128.443,1
91.699,107.079,1
106.786,128.664,1
91.465,106.107,1
105.334,128.775,1
91.282,105.107,1
103.843,128.792,1
91.134,104.073,1
107.757,106.733,1
106.189,111.091,1
110.774,113.471,1
113.128,110.371,1
111.827,107.98,1
91.807,108.891,1
101.542,93.866,1
109.592,105.754,1
91.579,112.027,1
109.557,91.474,1
91.297,112.986,1
106.786,91.336,1
91.066,113.976,1
105.334,91.225,1
90.867,115.002,1
103.843,91.208,1
111.666,113.595,1
113.211,108.472,1
110.384,106.87,1
107.948,108.208,1
107.288,109.813,1
107.047,113.089,1
91.882,111.993,1
93.317,118.07,1
99.393,94.803,1
93.372,119.067,1
98.422,95.011,1
93.485,120.078,1
97.631,95.126,1
94.201,121.894,1
96.803,95.272,1
113.133,107.575,1
108.417,106.815,1
106.867,109.768,1
107.411,111.797,1
110.121,112.722,1
126.316,91.774,1
110.199,114.269,1
100.929,126.161,1
93.729,101.128,1
100.73,126.516,1
93.372,100.933,1
100.531,126.871,1
93.014,100.738,1
100.321,127.245,1
92.638,100.532,1
109.241,106.109,1
106.049,109.759,1
107.654,112.674,1
111.841,112.557,1
112.7,110.356,1
110.968,128.221,1
107.461,106.562,1
105.531,127.985,1
92.319,104.445,1
104.103,127.997,1
91.931,104.323,1
102.65,127.896,1
91.847,103.309,1
101.171,127.695,1
91.799,102.266,1
108.796,106.232,1
106.046,109.844,1
107.583,112.61,1
110.657,113.082,1
112.569,110.904,1
92.897,103.697,1
113.636,112.244,1
105.531,127.985,1
91.961,105.751,1
104.103,127.997,1
91.798,104.765,1
102.65,127.896,1
91.689,103.756,1
102.487,128.293,1
91.701,102.507,1
108.796,106.232,1
106.049,109.745,1
108.171,113.051,1
111.276,112.881,1
112.569,110.904,1
128.226,110.964,1
107.461,106.562,1
106.855,128.263,1
91.776,106.634,1
106.786,128.664,1
91.375,106.56,1
106.717,129.066,1
90.975,106.486,1
106.644,129.488,1
90.553,106.408,1
106.274,108.649,1
106.977,112.55,1
111.471,113.238,1
113.128,110.371,1
112.203,108.399,1
91.785,109.334,1
128.226,124.388,1
109.591,105.753,1
91.502,111.128,1
109.557,91.474,1
91.297,112.986,1
108.157,91.151,1
91.066,113.976,1
106.717,90.934,1
90.867,115.002,1
105.231,90.809,1
111.666,113.595,1
113.404,108.963,1
110.954,106.997,1
108.36,107.824,1
120.548,91.776,1
108.202,106.123,1
128.226,110.964,1
93.729,118.872,1
100.932,93.838,1
93.833,119.866,1
99.943,93.952,1
93.996,120.87,1
97.444,95.282,1
94.201,121.894,1
96.101,95.933,1
113.437,108.029,1
108.417,106.815,1
106.449,109.851,1
107.898,112.347,1
110.121,112.722,1
128.409,93.868,1
110.406,114.243,1
100.161,125.705,1
93.729,101.128,1
99.943,126.048,1
93.372,100.933,1
99.724,126.392,1
93.014,100.738,1
99.494,126.754,1
92.638,100.532,1
108.847,106.215,1
106.452,109.851,1
107.582,112.609,1
110.155,113.15,1
112.328,111.413,1
92.702,104.27,1
107.047,113.089,1
105.531,127.985,1
92.07,105.313,1
106.786,128.664,1
91.676,105.21,1
106.717,129.066,1
91.282,105.107,1
106.644,129.488,1
90.867,104.998,1
106.23,108.762,1
106.657,112.137,1
110.774,113.471,1
112.985,111.007,1
112.485,108.886,1
91.807,108.891,1
128.226,120.55,1
109.007,105.843,1
91.48,110.677,1
109.557,91.474,1
91.073,110.692,1
109.545,91.067,1
90.723,111.647,1
109.532,90.659,1
90.296,111.683,1
109.519,90.231,1
109.532,113.935,1
113.535,110.385,1
111.551,107.258,1
109.374,107.348,1
116.709,91.777,1
108.195,106.126,1
128.226,110.964,1
93.317,118.07,1
100.539,94.065,1
92.95,118.247,1
100.331,93.715,1
92.583,118.424,1
100.123,93.365,1
92.198,118.611,1
98.689,93.779,1
113.948,109.629,1
109.293,106.513,1
106.98,109.097,1
107.183,111.415,1
109.051,112.554,1
